episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.17599929200150655,True,False
2,640.0,972,1357,0.2,0.027126664337831445,2.5592085829994176,True,False
3,490.0,484,1841,0.2,0.027428395121573846,5.8333756669999275,True,False
4,670.0,678,2519,0.2,0.03273285078862957,10.485551750000013,True,False
5,1230.0,577,3096,0.2,0.03762434505504267,14.499457792000612,True,False
6,420.0,466,3562,0.2,0.03450838474010856,17.724166667001555,True,False
7,660.0,628,4190,0.2,0.034166019200050766,22.023717750002106,True,False
8,510.0,509,4699,0.2,0.03959426347452297,25.47869662499943,True,False
9,640.0,577,5276,0.2,0.038554375218066934,29.228602667000814,True,False
10,650.0,616,5892,0.2,0.03946200372460722,33.37571604199911,True,False
11,530.0,533,6425,0.2,0.04393578181568449,36.868248999999196,True,False
12,220.0,503,6928,0.2,0.03747121513024756,38.974281458002224,True,False
13,310.0,386,7314,0.2,0.041864989490325875,40.32870945800096,True,False
14,310.0,448,7762,0.2,0.03801195608684793,41.64062325000123,True,False
15,1090.0,804,8566,0.2,0.04166399439697186,44.006827666999015,True,False
16,540.0,567,9133,0.2,0.03996343423717354,46.02985162500045,True,False
17,1350.0,852,9985,0.2,0.0426034037047831,50.88769400000092,True,False
18,900.0,686,10671,0.2,0.04182419819180031,55.64715937499932,True,False
19,570.0,503,11174,0.2,0.04284829111577618,59.11471487500239,True,False
20,450.0,569,11743,0.2,0.04212792158212093,62.94221533300151,True,False
21,1070.0,865,12608,0.2,0.04345347090250885,69.00375245800024,True,False
22,1110.0,849,13457,0.2,0.047170366943629354,74.96504862499933,True,False
23,970.0,685,14142,0.2,0.041663955187708226,79.72318683300182,True,False
24,950.0,668,14810,0.2,0.04278979593996672,84.38091970800087,True,False
25,810.0,802,15612,0.2,0.04556911879691726,89.91411158299888,True,False
26,1030.0,627,16239,0.2,0.047151848778295785,95.31275662500047,True,False
27,460.0,580,16819,0.2,0.04519967972140374,99.30767175000074,True,False
28,630.0,644,17463,0.2,0.047573177518485034,103.74475295800221,True,False
29,680.0,670,18133,0.2,0.04764159417079229,106.802956042,True,False
30,370.0,505,18638,0.2,0.04883287001460317,108.44423808300053,True,False
31,510.0,654,19292,0.2,0.05092269043926513,110.69422108300205,True,False
32,400.0,359,19651,0.2,0.0426525055729062,111.79406587500125,True,False
33,450.0,526,20177,0.2,0.05199609914173683,113.36637466699904,True,False
34,430.0,433,20610,0.2,0.04918985046161753,114.65588399999979,True,False
35,750.0,720,21330,0.2,0.05148212261394494,116.90029104200221,True,False
36,400.0,535,21865,0.2,0.05363786588909466,119.95509466700241,True,False
37,560.0,654,22519,0.2,0.04825915603332816,122.09155229200042,True,False
38,830.0,670,23189,0.2,0.05018074279983661,124.07891437500075,True,False
39,760.0,730,23919,0.2,0.05240192477959771,126.38429587499922,True,False
40,1070.0,883,24802,0.2,0.052263396771043136,130.52008616700186,True,False
41,970.0,702,25504,0.2,0.05302073691167276,135.50672295800177,True,False
42,870.0,700,26204,0.2,0.05154168036367212,140.3572724170008,True,False
43,870.0,768,26972,0.2,0.05049763675682092,145.64961595800196,True,False
44,2170.0,844,27816,0.2,0.05597635100582411,151.5771710830013,True,False
45,480.0,527,28343,0.2,0.05092407131340099,155.21991687500122,True,False
46,700.0,886,29229,0.2,0.055666005197987964,161.37784183300028,True,False
47,610.0,665,29894,0.2,0.052230083310684884,165.17128279200188,True,False
48,540.0,667,30561,0.2,0.04782960289659837,169.5717528330024,True,False
49,840.0,1046,31607,0.2,0.05421005866054974,176.6821464579989,True,False
50,310.0,377,31984,0.2,0.054736976345118725,179.33309904199996,True,False
51,580.0,549,32533,0.2,0.05866628236062553,183.524468333002,True,False
52,490.0,440,32973,0.2,0.06337783485651016,186.4757175420018,True,False
53,1040.0,576,33549,0.2,0.05302304442092362,190.30380420800066,True,False
54,520.0,551,34100,0.2,0.06023395878762223,194.14133404200038,True,False
55,550.0,518,34618,0.2,0.0686586285515349,197.68915129200104,True,False
56,750.0,806,35424,0.2,0.060892536982635755,203.23735862499962,True,False
57,1200.0,853,36277,0.2,0.06444861671227105,208.97961383300208,True,False
58,660.0,683,36960,0.2,0.0666941121242374,213.62281000000075,True,False
59,400.0,516,37476,0.2,0.06452578559604495,217.10766862500168,True,False
60,750.0,551,38027,0.2,0.06892383290984988,220.84955483299927,True,False
61,1030.0,677,38704,0.2,0.060578274630996236,225.45051866699941,True,False
62,650.0,686,39390,0.2,0.06764041439341435,230.10688208300053,True,False
63,470.0,446,39836,0.2,0.06743838538282684,233.1494124580022,True,False
64,330.0,409,40245,0.2,0.0690467651002109,235.9351819580006,True,False
65,920.0,845,41090,0.2,0.06632844643817411,241.68251091700222,True,False
66,530.0,474,41564,0.2,0.06063373531254024,244.7284345420012,True,False
67,430.0,440,42004,0.2,0.08263816010545601,247.7846375420013,True,False
68,760.0,734,42738,0.2,0.07378426676646607,252.80397379200076,True,False
69,690.0,595,43333,0.2,0.07565134449318152,256.86621858299986,True,False
70,1590.0,1129,44462,0.2,0.07045283138831245,264.4629723750004,True,False
71,850.0,627,45089,0.2,0.06821321415163245,267.7454847500012,True,False
72,640.0,595,45684,0.2,0.07227960560820847,271.7996679579992,True,False
73,160.0,308,45992,0.2,0.06930481634018096,273.9040170420012,True,False
74,300.0,405,46397,0.2,0.07056707970908668,276.66146929200113,True,False
75,480.0,456,46853,0.2,0.06630716319277621,279.7501166250004,True,False
76,730.0,665,47518,0.2,0.07769017381571143,284.67687537500024,True,False
77,480.0,483,48001,0.2,0.0741022011757759,287.8605615000015,True,False
78,210.0,355,48356,0.2,0.06792952264711428,290.2381349999996,True,False
79,810.0,697,49053,0.2,0.08452281330701435,294.918610875,True,False
80,900.0,858,49911,0.2,0.07428845881144995,300.7509852080002,True,False
81,960.0,728,50639,0.2,0.08066412306564687,305.81002841699956,True,False
82,940.0,625,51264,0.2,0.07728844515647099,310.13893991700024,True,False
83,1150.0,1044,52308,0.2,0.07908485764173712,316.9011947500003,True,False
84,350.0,473,52781,0.2,0.07556163288368764,320.1641889170023,True,False
85,250.0,446,53227,0.2,0.07424794822125821,323.15988879200086,True,False
86,800.0,691,53918,0.2,0.07590812146448331,327.8548901670001,True,False
87,360.0,592,54510,0.2,0.06877577526973107,331.93259729200145,True,False
88,480.0,467,54977,0.2,0.06343268283889589,335.169322042002,True,False
89,410.0,435,55412,0.2,0.08070277080896797,338.1543657500006,True,False
90,310.0,405,55817,0.2,0.08346840807485699,340.89391437499944,True,False
91,660.0,654,56471,0.2,0.08132149719638876,345.3158508330016,True,False
92,570.0,541,57012,0.2,0.0809456167044118,349.0363336670016,True,False
93,520.0,576,57588,0.2,0.0854642638264017,352.9135368749994,True,False
94,350.0,541,58129,0.2,0.07680337568400082,356.5610461670003,True,False
95,500.0,422,58551,0.2,0.08764445957328593,357.9519477920003,True,False
96,440.0,487,59038,0.2,0.09102273048436055,361.13335987499886,True,False
97,200.0,393,59431,0.2,0.09050182547724368,363.8103610830003,True,False
98,370.0,504,59935,0.2,0.08874733214606605,367.2995649580007,True,False
99,310.0,453,60388,0.2,0.09546161267350901,370.43439316700096,True,False
100,440.0,541,60929,0.2,0.08351954555621853,374.0745297079993,True,False
